AAC_A,AAC_C,AAC_D,AAC_E,AAC_F,AAC_G,AAC_H,AAC_I,AAC_K,AAC_L,AAC_M,AAC_N,AAC_P,AAC_Q,AAC_R,AAC_S,AAC_T,AAC_V,AAC_W,AAC_Y,Label
3.7,3.7,3.7,0.0,7.41,3.7,0.0,3.7,0.0,3.7,7.41,0.0,11.11,3.7,11.11,22.22,7.41,3.7,0.0,3.7,AMP
0.0,6.25,0.0,0.0,18.75,6.25,0.0,6.25,6.25,0.0,12.5,12.5,0.0,0.0,6.25,12.5,12.5,0.0,0.0,0.0,AMP
3.03,3.03,3.03,0.0,9.09,3.03,3.03,0.0,12.12,15.15,3.03,6.06,12.12,3.03,6.06,3.03,6.06,9.09,0.0,0.0,AMP
12.5,3.12,0.0,0.0,0.0,9.38,0.0,15.62,3.12,12.5,3.12,0.0,6.25,0.0,6.25,6.25,3.12,18.75,0.0,0.0,AMP
12.5,0.0,0.0,0.0,0.0,3.12,0.0,0.0,0.0,9.38,6.25,9.38,9.38,0.0,6.25,6.25,9.38,28.12,0.0,0.0,AMP
5.88,0.0,2.94,2.94,17.65,0.0,11.76,5.88,0.0,0.0,11.76,14.71,2.94,0.0,14.71,2.94,5.88,0.0,0.0,0.0,AMP
8.33,0.0,4.17,8.33,12.5,4.17,0.0,4.17,4.17,4.17,8.33,0.0,4.17,4.17,8.33,0.0,12.5,4.17,4.17,4.17,AMP
11.11,0.0,2.78,13.89,0.0,5.56,2.78,5.56,13.89,11.11,2.78,2.78,2.78,2.78,19.44,0.0,2.78,0.0,0.0,0.0,AMP
23.53,0.0,2.94,5.88,0.0,5.88,2.94,8.82,8.82,2.94,2.94,2.94,2.94,0.0,14.71,0.0,2.94,5.88,2.94,2.94,AMP
17.95,0.0,5.13,2.56,5.13,5.13,5.13,5.13,2.56,5.13,5.13,2.56,0.0,2.56,10.26,7.69,0.0,2.56,10.26,5.13,AMP
9.3,0.0,4.65,0.0,4.65,9.3,0.0,6.98,9.3,9.3,2.33,2.33,0.0,2.33,4.65,4.65,6.98,4.65,11.63,6.98,AMP
9.3,6.98,2.33,4.65,4.65,13.95,0.0,11.63,4.65,4.65,2.33,2.33,4.65,0.0,0.0,11.63,2.33,11.63,2.33,0.0,AMP
8.51,0.0,2.13,12.77,4.26,2.13,2.13,10.64,14.89,6.38,2.13,2.13,4.26,2.13,4.26,4.26,4.26,6.38,0.0,6.38,AMP
0.0,0.0,0.0,0.0,6.25,0.0,6.25,0.0,0.0,6.25,0.0,0.0,50.0,0.0,25.0,0.0,0.0,0.0,6.25,0.0,AMP
10.53,0.0,5.26,0.0,2.63,10.53,0.0,2.63,7.89,13.16,2.63,7.89,5.26,7.89,2.63,2.63,0.0,15.79,0.0,2.63,AMP
5.26,7.89,2.63,2.63,0.0,5.26,2.63,7.89,18.42,2.63,2.63,2.63,2.63,5.26,13.16,5.26,0.0,13.16,0.0,0.0,AMP
10.87,0.0,0.0,0.0,4.35,6.52,2.17,0.0,10.87,6.52,4.35,4.35,2.17,4.35,23.91,6.52,6.52,6.52,0.0,0.0,AMP
0.0,0.0,3.7,0.0,0.0,18.52,0.0,3.7,22.22,0.0,3.7,0.0,3.7,0.0,25.93,0.0,7.41,0.0,3.7,7.41,AMP
2.7,8.11,2.7,2.7,0.0,5.41,5.41,8.11,16.22,0.0,2.7,2.7,2.7,5.41,16.22,2.7,0.0,13.51,0.0,2.7,AMP
6.12,0.0,0.0,0.0,2.04,8.16,2.04,0.0,14.29,4.08,4.08,2.04,6.12,4.08,30.61,0.0,8.16,4.08,4.08,0.0,AMP
0.0,0.0,0.0,0.0,0.0,5.56,5.56,5.56,0.0,5.56,0.0,11.11,33.33,5.56,16.67,0.0,0.0,5.56,0.0,5.56,AMP
0.0,0.0,0.0,0.0,0.0,5.0,5.0,10.0,0.0,5.0,0.0,10.0,35.0,0.0,20.0,0.0,5.0,0.0,0.0,5.0,AMP
0.0,8.33,0.0,0.0,8.33,4.17,0.0,0.0,16.67,16.67,0.0,0.0,8.33,4.17,4.17,0.0,12.5,8.33,0.0,8.33,AMP
0.0,8.11,5.41,0.0,0.0,5.41,5.41,8.11,16.22,0.0,5.41,2.7,5.41,8.11,13.51,2.7,0.0,13.51,0.0,0.0,AMP
12.5,0.0,0.0,0.0,0.0,16.67,4.17,0.0,20.83,0.0,4.17,8.33,4.17,0.0,25.0,0.0,4.17,0.0,0.0,0.0,AMP
11.36,0.0,0.0,0.0,4.55,6.82,2.27,2.27,4.55,4.55,4.55,6.82,2.27,2.27,29.55,11.36,4.55,2.27,0.0,0.0,AMP
6.06,0.0,0.0,0.0,0.0,6.06,3.03,6.06,27.27,6.06,6.06,0.0,0.0,3.03,27.27,3.03,3.03,3.03,0.0,0.0,AMP
0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.25,0.0,6.25,0.0,0.0,31.25,0.0,50.0,0.0,0.0,0.0,6.25,0.0,AMP
0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.25,0.0,6.25,0.0,0.0,37.5,0.0,43.75,0.0,0.0,0.0,6.25,0.0,AMP
4.65,0.0,6.98,2.33,0.0,9.3,2.33,9.3,9.3,6.98,2.33,4.65,2.33,9.3,11.63,2.33,4.65,2.33,0.0,9.3,AMP
7.14,9.52,7.14,4.76,11.9,14.29,0.0,4.76,4.76,9.52,2.38,2.38,7.14,0.0,0.0,2.38,2.38,4.76,0.0,4.76,AMP
6.98,6.98,4.65,4.65,6.98,16.28,0.0,11.63,2.33,2.33,6.98,2.33,4.65,2.33,0.0,11.63,2.33,6.98,0.0,0.0,AMP
12.82,0.0,2.56,7.69,0.0,2.56,0.0,5.13,12.82,7.69,2.56,2.56,5.13,5.13,15.38,0.0,2.56,5.13,0.0,10.26,AMP
20.45,6.82,4.55,9.09,2.27,13.64,0.0,6.82,4.55,11.36,2.27,0.0,6.82,0.0,0.0,4.55,0.0,4.55,2.27,0.0,AMP
12.82,0.0,5.13,12.82,0.0,7.69,0.0,2.56,10.26,5.13,7.69,0.0,5.13,5.13,15.38,2.56,2.56,0.0,0.0,5.13,AMP
23.91,0.0,2.17,4.35,0.0,4.35,0.0,4.35,10.87,2.17,2.17,0.0,6.52,2.17,17.39,4.35,6.52,4.35,2.17,2.17,AMP
14.63,7.32,4.88,4.88,4.88,17.07,0.0,9.76,4.88,7.32,0.0,2.44,4.88,0.0,0.0,2.44,4.88,7.32,2.44,0.0,AMP
4.65,6.98,4.65,4.65,4.65,16.28,0.0,11.63,4.65,6.98,6.98,2.33,4.65,0.0,0.0,9.3,6.98,4.65,0.0,0.0,AMP
16.67,0.0,0.0,8.33,0.0,0.0,4.17,8.33,12.5,12.5,4.17,4.17,0.0,0.0,12.5,0.0,8.33,8.33,0.0,0.0,AMP
4.0,8.0,8.0,0.0,4.0,8.0,4.0,4.0,4.0,24.0,4.0,4.0,0.0,8.0,4.0,12.0,0.0,0.0,0.0,0.0,AMP
7.14,0.0,0.0,0.0,7.14,7.14,0.0,7.14,14.29,7.14,7.14,0.0,0.0,0.0,7.14,7.14,7.14,7.14,14.29,0.0,AMP
3.57,0.0,3.57,3.57,0.0,3.57,3.57,14.29,0.0,3.57,3.57,10.71,3.57,3.57,10.71,14.29,7.14,10.71,0.0,0.0,AMP
7.14,3.57,0.0,0.0,7.14,3.57,0.0,0.0,7.14,3.57,7.14,10.71,3.57,3.57,10.71,17.86,3.57,3.57,7.14,0.0,AMP
3.57,0.0,0.0,0.0,3.57,10.71,7.14,10.71,0.0,17.86,3.57,3.57,0.0,3.57,14.29,10.71,3.57,7.14,0.0,0.0,AMP
4.76,0.0,0.0,0.0,0.0,14.29,0.0,19.05,4.76,0.0,4.76,4.76,0.0,0.0,4.76,4.76,38.1,0.0,0.0,0.0,AMP
18.52,7.41,0.0,11.11,0.0,7.41,3.7,0.0,7.41,0.0,3.7,3.7,0.0,11.11,7.41,7.41,0.0,3.7,0.0,7.41,AMP
0.0,0.0,5.88,5.88,5.88,0.0,0.0,0.0,5.88,17.65,5.88,0.0,23.53,0.0,23.53,0.0,5.88,0.0,0.0,0.0,AMP
0.0,6.25,0.0,0.0,18.75,6.25,0.0,0.0,6.25,0.0,6.25,18.75,0.0,0.0,12.5,12.5,12.5,0.0,0.0,0.0,AMP
0.0,4.17,8.33,0.0,4.17,0.0,8.33,16.67,8.33,4.17,4.17,12.5,4.17,0.0,4.17,4.17,4.17,8.33,4.17,0.0,AMP
6.67,0.0,0.0,0.0,46.67,0.0,6.67,0.0,6.67,0.0,6.67,0.0,13.33,0.0,0.0,0.0,13.33,0.0,0.0,0.0,AMP
5.88,0.0,2.94,2.94,14.71,0.0,11.76,5.88,2.94,2.94,8.82,14.71,2.94,0.0,14.71,2.94,5.88,0.0,0.0,0.0,AMP
4.55,4.55,2.27,0.0,13.64,6.82,4.55,2.27,4.55,11.36,2.27,2.27,11.36,4.55,11.36,2.27,2.27,9.09,0.0,0.0,AMP
3.03,3.03,3.03,3.03,3.03,3.03,0.0,3.03,3.03,3.03,6.06,3.03,6.06,6.06,15.15,27.27,3.03,3.03,0.0,3.03,AMP
15.62,0.0,0.0,0.0,3.12,3.12,0.0,0.0,3.12,6.25,6.25,6.25,9.38,0.0,3.12,6.25,9.38,28.12,0.0,0.0,AMP
4.17,12.5,8.33,0.0,8.33,8.33,0.0,4.17,4.17,16.67,4.17,4.17,0.0,4.17,0.0,8.33,4.17,4.17,4.17,0.0,AMP
4.0,8.0,8.0,0.0,4.0,8.0,4.0,4.0,4.0,20.0,4.0,4.0,0.0,8.0,4.0,16.0,0.0,0.0,0.0,0.0,AMP
4.17,8.33,8.33,0.0,8.33,8.33,0.0,4.17,4.17,16.67,4.17,0.0,4.17,4.17,4.17,8.33,0.0,8.33,4.17,0.0,AMP
4.17,12.5,8.33,0.0,8.33,8.33,0.0,4.17,4.17,16.67,4.17,4.17,4.17,4.17,0.0,8.33,0.0,4.17,4.17,0.0,AMP
16.0,0.0,2.0,4.0,2.0,2.0,2.0,12.0,10.0,4.0,8.0,10.0,2.0,4.0,10.0,4.0,0.0,2.0,4.0,2.0,AMP
12.5,0.0,5.0,5.0,0.0,2.5,0.0,0.0,10.0,10.0,10.0,5.0,5.0,0.0,12.5,5.0,7.5,2.5,2.5,5.0,AMP
4.88,0.0,7.32,4.88,4.88,9.76,2.44,4.88,9.76,7.32,2.44,2.44,2.44,9.76,7.32,2.44,4.88,2.44,0.0,9.76,AMP
20.41,0.0,6.12,2.04,2.04,6.12,2.04,4.08,2.04,16.33,0.0,2.04,6.12,2.04,18.37,2.04,6.12,0.0,0.0,2.04,AMP
3.85,0.0,0.0,11.54,0.0,3.85,0.0,7.69,7.69,3.85,11.54,7.69,0.0,7.69,15.38,3.85,15.38,0.0,0.0,0.0,AMP
11.11,0.0,0.0,13.89,0.0,2.78,0.0,0.0,16.67,16.67,5.56,0.0,0.0,0.0,8.33,0.0,13.89,0.0,8.33,2.78,AMP
11.11,0.0,2.78,13.89,0.0,5.56,2.78,5.56,13.89,11.11,2.78,2.78,2.78,5.56,16.67,0.0,2.78,0.0,0.0,0.0,AMP
18.92,2.7,0.0,10.81,0.0,2.7,5.41,2.7,8.11,5.41,2.7,2.7,0.0,8.11,10.81,0.0,2.7,5.41,8.11,2.7,AMP
13.95,0.0,0.0,9.3,2.33,4.65,0.0,9.3,9.3,9.3,2.33,2.33,2.33,4.65,13.95,4.65,4.65,4.65,0.0,2.33,AMP
18.18,6.82,4.55,9.09,6.82,11.36,0.0,6.82,2.27,6.82,2.27,0.0,6.82,0.0,0.0,2.27,4.55,9.09,2.27,0.0,AMP
15.22,2.17,4.35,10.87,0.0,2.17,2.17,4.35,4.35,13.04,2.17,0.0,6.52,0.0,17.39,2.17,6.52,6.52,0.0,0.0,AMP
2.33,0.0,2.33,6.98,0.0,9.3,6.98,9.3,13.95,4.65,2.33,2.33,2.33,11.63,9.3,2.33,4.65,2.33,0.0,6.98,AMP
4.44,2.22,4.44,2.22,6.67,2.22,2.22,4.44,4.44,17.78,4.44,6.67,2.22,0.0,2.22,2.22,8.89,11.11,4.44,6.67,AMP
6.9,3.45,3.45,0.0,6.9,3.45,3.45,3.45,6.9,17.24,3.45,3.45,0.0,0.0,0.0,3.45,13.79,13.79,0.0,6.9,AMP
14.89,0.0,8.51,4.26,2.13,2.13,4.26,0.0,6.38,4.26,2.13,0.0,6.38,0.0,17.02,8.51,8.51,10.64,0.0,0.0,AMP
3.23,0.0,3.23,9.68,0.0,9.68,6.45,9.68,16.13,3.23,3.23,3.23,0.0,9.68,9.68,3.23,3.23,3.23,0.0,3.23,AMP
13.95,6.98,4.65,4.65,4.65,16.28,0.0,6.98,2.33,2.33,4.65,2.33,4.65,2.33,0.0,6.98,4.65,11.63,0.0,0.0,AMP
13.33,8.89,6.67,2.22,6.67,15.56,2.22,6.67,2.22,6.67,2.22,2.22,8.89,2.22,0.0,2.22,0.0,6.67,0.0,4.44,AMP
11.43,0.0,2.86,14.29,0.0,5.71,2.86,5.71,14.29,11.43,0.0,2.86,2.86,2.86,20.0,0.0,2.86,0.0,0.0,0.0,AMP
14.58,0.0,0.0,2.08,0.0,2.08,0.0,2.08,2.08,8.33,4.17,2.08,8.33,10.42,16.67,2.08,10.42,6.25,0.0,8.33,AMP
8.82,0.0,2.94,8.82,2.94,2.94,0.0,8.82,17.65,11.76,2.94,0.0,0.0,11.76,8.82,0.0,5.88,2.94,2.94,0.0,AMP
6.45,0.0,0.0,9.68,6.45,0.0,0.0,3.23,12.9,12.9,3.23,3.23,6.45,3.23,6.45,6.45,9.68,0.0,3.23,6.45,AMP
17.78,2.22,2.22,2.22,2.22,6.67,2.22,6.67,8.89,2.22,6.67,4.44,0.0,0.0,0.0,13.33,0.0,8.89,6.67,6.67,AMP
9.09,0.0,0.0,9.09,4.55,2.27,0.0,2.27,9.09,4.55,2.27,11.36,2.27,9.09,6.82,6.82,11.36,0.0,0.0,9.09,AMP
15.38,0.0,0.0,7.69,2.56,5.13,5.13,5.13,12.82,7.69,2.56,2.56,5.13,0.0,12.82,5.13,2.56,5.13,0.0,2.56,AMP
16.0,4.0,0.0,6.0,6.0,10.0,2.0,4.0,8.0,10.0,2.0,0.0,2.0,2.0,12.0,2.0,6.0,6.0,2.0,0.0,AMP
6.12,0.0,2.04,12.24,8.16,2.04,2.04,10.2,16.33,6.12,4.08,4.08,4.08,4.08,4.08,4.08,4.08,0.0,0.0,6.12,AMP
4.88,0.0,2.44,9.76,4.88,4.88,0.0,4.88,12.2,9.76,9.76,4.88,4.88,7.32,7.32,2.44,4.88,0.0,0.0,4.88,AMP
7.69,0.0,0.0,10.26,2.56,0.0,2.56,5.13,0.0,10.26,2.56,7.69,15.38,15.38,10.26,2.56,2.56,0.0,2.56,2.56,AMP
17.02,0.0,2.13,6.38,2.13,2.13,2.13,4.26,6.38,6.38,4.26,4.26,6.38,2.13,14.89,2.13,8.51,2.13,0.0,6.38,AMP
21.05,7.89,5.26,2.63,5.26,15.79,0.0,5.26,2.63,2.63,5.26,2.63,5.26,0.0,0.0,5.26,5.26,7.89,0.0,0.0,AMP
6.98,6.98,4.65,4.65,4.65,16.28,0.0,11.63,4.65,6.98,6.98,2.33,4.65,0.0,0.0,9.3,4.65,4.65,0.0,0.0,AMP
7.14,9.52,9.52,2.38,9.52,14.29,0.0,9.52,4.76,7.14,2.38,0.0,7.14,2.38,0.0,2.38,0.0,7.14,0.0,4.76,AMP
5.56,0.0,2.78,8.33,0.0,0.0,0.0,16.67,33.33,5.56,2.78,5.56,0.0,2.78,2.78,2.78,5.56,0.0,2.78,2.78,AMP
3.03,0.0,3.03,9.09,3.03,6.06,0.0,9.09,15.15,9.09,3.03,3.03,0.0,9.09,6.06,9.09,3.03,0.0,0.0,9.09,AMP
6.98,6.98,4.65,4.65,6.98,16.28,0.0,6.98,4.65,4.65,6.98,2.33,4.65,0.0,0.0,11.63,4.65,6.98,0.0,0.0,AMP
4.76,9.52,9.52,2.38,9.52,14.29,0.0,2.38,4.76,11.9,2.38,2.38,7.14,0.0,0.0,4.76,0.0,9.52,0.0,4.76,AMP
15.38,0.0,0.0,11.54,0.0,3.85,0.0,7.69,7.69,3.85,3.85,0.0,3.85,0.0,26.92,3.85,7.69,3.85,0.0,0.0,AMP
7.14,0.0,0.0,17.86,0.0,7.14,0.0,10.71,21.43,3.57,10.71,0.0,3.57,0.0,10.71,0.0,7.14,0.0,0.0,0.0,AMP
16.28,6.98,4.65,4.65,4.65,13.95,0.0,9.3,4.65,6.98,2.33,2.33,4.65,0.0,0.0,2.33,4.65,9.3,2.33,0.0,AMP
11.11,0.0,2.78,13.89,0.0,5.56,2.78,5.56,13.89,8.33,2.78,2.78,5.56,2.78,19.44,0.0,2.78,0.0,0.0,0.0,AMP
12.5,0.0,8.33,0.0,0.0,0.0,4.17,4.17,16.67,12.5,4.17,4.17,0.0,4.17,12.5,0.0,8.33,8.33,0.0,0.0,AMP
11.43,0.0,2.86,5.71,2.86,0.0,0.0,5.71,20.0,8.57,2.86,5.71,5.71,8.57,8.57,0.0,2.86,5.71,2.86,0.0,AMP
6.67,2.22,0.0,6.67,4.44,6.67,2.22,6.67,6.67,4.44,4.44,4.44,6.67,4.44,15.56,8.89,4.44,2.22,0.0,2.22,AMP
28.57,3.57,7.14,0.0,7.14,3.57,0.0,3.57,3.57,7.14,3.57,3.57,3.57,3.57,3.57,3.57,10.71,0.0,0.0,3.57,AMP
23.33,0.0,0.0,6.67,0.0,6.67,0.0,0.0,6.67,10.0,3.33,3.33,3.33,3.33,13.33,0.0,10.0,10.0,0.0,0.0,AMP
15.91,6.82,6.82,13.64,2.27,4.55,0.0,0.0,2.27,13.64,2.27,4.55,6.82,2.27,0.0,6.82,0.0,4.55,2.27,4.55,AMP
5.41,0.0,5.41,5.41,2.7,5.41,2.7,5.41,10.81,8.11,2.7,2.7,5.41,8.11,10.81,10.81,2.7,2.7,0.0,2.7,AMP
6.82,6.82,4.55,6.82,9.09,9.09,0.0,6.82,2.27,4.55,4.55,4.55,6.82,0.0,0.0,6.82,4.55,13.64,2.27,0.0,AMP
16.67,0.0,8.33,8.33,0.0,4.17,0.0,4.17,12.5,8.33,4.17,0.0,0.0,4.17,12.5,4.17,4.17,8.33,0.0,0.0,AMP
13.16,0.0,0.0,10.53,0.0,5.26,5.26,7.89,7.89,5.26,5.26,0.0,2.63,0.0,18.42,2.63,7.89,5.26,0.0,2.63,AMP
11.63,6.98,4.65,4.65,4.65,16.28,0.0,6.98,4.65,6.98,2.33,2.33,4.65,0.0,2.33,6.98,2.33,11.63,0.0,0.0,AMP
5.26,5.26,7.89,2.63,5.26,10.53,0.0,10.53,2.63,0.0,2.63,5.26,5.26,0.0,0.0,10.53,7.89,15.79,0.0,2.63,AMP
0.0,6.25,0.0,0.0,18.75,6.25,0.0,0.0,6.25,0.0,12.5,6.25,0.0,0.0,6.25,12.5,25.0,0.0,0.0,0.0,AMP
6.67,0.0,0.0,0.0,46.67,0.0,0.0,0.0,6.67,0.0,6.67,0.0,13.33,6.67,0.0,0.0,13.33,0.0,0.0,0.0,AMP
0.0,0.0,6.25,0.0,6.25,0.0,37.5,0.0,6.25,0.0,6.25,6.25,12.5,0.0,6.25,0.0,6.25,6.25,0.0,0.0,AMP
14.29,0.0,0.0,0.0,7.14,7.14,14.29,0.0,0.0,7.14,7.14,0.0,0.0,0.0,7.14,7.14,14.29,0.0,14.29,0.0,AMP
4.35,0.0,4.35,4.35,4.35,4.35,0.0,8.7,8.7,17.39,4.35,4.35,4.35,0.0,8.7,4.35,4.35,4.35,4.35,4.35,AMP
7.14,0.0,0.0,3.57,3.57,10.71,0.0,7.14,0.0,21.43,3.57,3.57,0.0,3.57,17.86,3.57,10.71,3.57,0.0,0.0,AMP
4.55,0.0,4.55,0.0,0.0,9.09,0.0,27.27,4.55,0.0,4.55,4.55,0.0,0.0,4.55,4.55,31.82,0.0,0.0,0.0,AMP
5.88,2.94,2.94,2.94,11.76,0.0,11.76,5.88,0.0,5.88,11.76,14.71,2.94,0.0,14.71,0.0,5.88,0.0,0.0,0.0,AMP
2.94,0.0,2.94,2.94,11.76,2.94,2.94,2.94,5.88,20.59,2.94,5.88,14.71,0.0,8.82,2.94,0.0,8.82,0.0,0.0,AMP
12.5,0.0,0.0,0.0,3.12,3.12,0.0,3.12,3.12,6.25,3.12,3.12,6.25,3.12,3.12,9.38,12.5,28.12,0.0,0.0,AMP
4.0,12.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,24.0,4.0,4.0,4.0,4.0,8.0,4.0,0.0,4.0,0.0,4.0,AMP
0.0,0.0,0.0,0.0,10.53,5.26,5.26,15.79,10.53,0.0,5.26,10.53,5.26,5.26,0.0,5.26,5.26,10.53,0.0,5.26,AMP
2.63,5.26,5.26,2.63,5.26,2.63,5.26,7.89,7.89,10.53,13.16,5.26,7.89,0.0,0.0,5.26,0.0,2.63,2.63,7.89,AMP
2.63,5.26,5.26,2.63,5.26,2.63,5.26,10.53,7.89,10.53,10.53,5.26,7.89,0.0,0.0,5.26,0.0,2.63,2.63,7.89,AMP
8.7,0.0,4.35,8.7,4.35,4.35,0.0,4.35,13.04,4.35,6.52,0.0,0.0,6.52,8.7,4.35,6.52,4.35,6.52,4.35,AMP
16.28,6.98,4.65,4.65,4.65,16.28,0.0,4.65,2.33,2.33,6.98,2.33,4.65,2.33,0.0,6.98,4.65,9.3,0.0,0.0,AMP
5.0,5.0,0.0,5.0,0.0,5.0,0.0,0.0,20.0,10.0,15.0,5.0,0.0,5.0,5.0,10.0,0.0,10.0,0.0,0.0,AMP
17.5,0.0,2.5,0.0,5.0,17.5,2.5,7.5,7.5,7.5,5.0,2.5,2.5,5.0,2.5,2.5,2.5,10.0,0.0,0.0,AMP
2.56,15.38,5.13,15.38,2.56,7.69,5.13,5.13,2.56,5.13,2.56,2.56,0.0,7.69,0.0,0.0,10.26,5.13,0.0,5.13,AMP
14.63,2.44,2.44,0.0,4.88,9.76,0.0,7.32,4.88,7.32,2.44,4.88,0.0,7.32,2.44,9.76,7.32,12.2,0.0,0.0,AMP
13.33,0.0,6.67,10.0,0.0,3.33,0.0,6.67,13.33,10.0,13.33,3.33,0.0,6.67,3.33,0.0,3.33,0.0,3.33,3.33,AMP
14.81,0.0,0.0,11.11,3.7,3.7,3.7,0.0,7.41,7.41,11.11,0.0,7.41,3.7,14.81,7.41,3.7,0.0,0.0,0.0,AMP
7.5,0.0,5.0,2.5,10.0,2.5,2.5,2.5,7.5,5.0,2.5,2.5,5.0,5.0,7.5,12.5,7.5,7.5,2.5,2.5,AMP
6.12,6.12,4.08,8.16,6.12,18.37,0.0,6.12,4.08,4.08,4.08,4.08,6.12,0.0,4.08,8.16,4.08,4.08,0.0,2.04,AMP
18.6,6.98,4.65,4.65,6.98,9.3,0.0,9.3,4.65,2.33,4.65,4.65,4.65,0.0,0.0,6.98,2.33,9.3,0.0,0.0,AMP
15.38,0.0,0.0,11.54,0.0,0.0,0.0,7.69,7.69,3.85,3.85,0.0,3.85,0.0,26.92,7.69,7.69,3.85,0.0,0.0,AMP
15.91,0.0,4.55,2.27,4.55,6.82,4.55,6.82,2.27,6.82,4.55,2.27,0.0,2.27,11.36,6.82,0.0,2.27,11.36,4.55,AMP
3.85,0.0,3.85,7.69,0.0,3.85,0.0,7.69,7.69,3.85,11.54,3.85,0.0,11.54,15.38,3.85,15.38,0.0,0.0,0.0,AMP
12.24,10.2,6.12,2.04,6.12,12.24,0.0,10.2,2.04,8.16,4.08,0.0,8.16,0.0,2.04,8.16,0.0,0.0,0.0,8.16,AMP
13.16,0.0,5.26,5.26,2.63,5.26,2.63,7.89,10.53,5.26,2.63,0.0,5.26,0.0,18.42,2.63,5.26,2.63,0.0,5.26,AMP
7.89,5.26,10.53,0.0,5.26,2.63,0.0,7.89,5.26,2.63,5.26,2.63,5.26,0.0,0.0,15.79,10.53,10.53,0.0,2.63,AMP
3.33,16.67,0.0,0.0,3.33,13.33,3.33,6.67,13.33,3.33,0.0,0.0,13.33,3.33,6.67,0.0,6.67,3.33,0.0,3.33,AMP
2.7,8.11,2.7,0.0,0.0,2.7,5.41,13.51,21.62,0.0,2.7,0.0,2.7,10.81,10.81,2.7,2.7,10.81,0.0,0.0,AMP
10.42,0.0,0.0,2.08,2.08,4.17,2.08,0.0,16.67,10.42,4.17,0.0,2.08,6.25,16.67,8.33,8.33,4.17,0.0,2.08,AMP
15.91,6.82,4.55,9.09,4.55,9.09,0.0,2.27,4.55,11.36,2.27,0.0,4.55,0.0,0.0,4.55,2.27,13.64,2.27,2.27,AMP
12.5,7.5,10.0,5.0,5.0,5.0,0.0,7.5,7.5,7.5,7.5,10.0,2.5,0.0,0.0,2.5,2.5,7.5,0.0,0.0,AMP
